"Pnum","Age","Gender","Mot_Explore","Mot_Knowlege","Mot_Learn","Mot_Independent","Mot_Understand","Mot_GiveBack","Mot_Financial","Mot_Help","Mot_Honor","Mot_Rolemodel","rfqpro1r","rfqpro2","rfqpro3","rfqpro4r","rfqpro5","rfqpro6r","rfqpre1r","rfqpre2r","rfqpre3","rfqpre4r","rfqpre5r","RFApro2","RFApro3","RFApro4","RFApro5","RFApre1","RFApre2","RFApre3","RFApre5","RFHpro2","RFHpro3","RFHpro4","RFHpro5","RFHpre1","RFHpre2","RFHpre3","RFHpre5","RFRpro2","RFRpro3","RFRpro4","RFRpro5","RFRpre1","RFRpre2","RFRpre3","RFRpre5","questionnaire1","questionnaire2"
1,18,2,5,6,7,6,6,5,5,3,5,3,2,4,4,4,4,3,2,2,2,2,3,6,5,5,6,5,4,6,4,3,4,3,3,5,4,3,3,7,7,5,7,6,4,7,4,1,1
2,19,1,4,7,4,5,6,3,7,5,6,4,3,5,4,4,4,3,4,3,4,4,4,7,6,7,7,7,7,7,7,7,7,2,6,7,7,7,5,7,6,3,7,7,6,6,5,1,1
3,19,1,5,6,7,6,7,5,4,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,6,6,5,4,6,4,5,3,3,6,5,4,4,4,5,5,4,6,4,4,4,1,NA
4,19,1,2,5,6,4,6,1,6,5,1,3,1,3,5,2,4,2,1,2,1,3,4,2,3,6,2,2,2,3,4,3,2,4,3,2,2,4,4,5,2,4,2,5,2,1,4,1,1
10,20,2,6,7,7,7,7,6,7,2,4,4,3,5,5,4,4,3,4,4,4,4,4,5,5,6,6,7,6,5,6,6,7,6,6,5,6,7,7,5,5,5,5,5,4,5,5,1,1
11,20,1,5,5,5,5,5,5,6,6,5,4,2,4,3,2,4,4,3,3,3,3,2,4,5,4,5,5,5,5,5,4,5,5,5,3,3,5,5,4,5,4,4,5,5,5,5,1,1
12,19,2,6,7,6,7,7,4,6,6,4,7,2,5,4,2,5,4,1,1,5,2,1,6,6,6,7,7,6,6,6,2,3,5,2,2,5,5,4,6,4,6,4,2,2,6,5,1,1
13,18,2,5,6,5,6,6,5,6,3,5,4,2,5,3,2,5,2,2,2,4,2,3,5,6,6,6,5,6,5,4,5,4,5,4,5,5,4,3,6,6,4,5,5,6,6,5,1,1
14,19,2,5,4,1,1,4,4,7,4,7,7,2,5,4,3,5,5,3,2,4,3,3,4,4,6,5,5,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,1,1
15,21,2,6,6,7,7,7,2,6,2,7,5,1,4,4,3,4,4,4,2,2,2,4,5,4,6,6,5,4,4,5,3,6,7,7,3,4,7,7,5,5,7,7,2,5,6,7,1,1
16,21,1,2,3,2,3,3,6,6,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,5,3,4,5,5,3,2,6,4,2,2,5,5,5,5,6,5,5,5,5,4,1,NA
17,18,2,6,6,7,7,7,7,7,2,7,7,1,3,4,2,4,2,3,4,3,3,4,4,5,5,5,5,3,5,5,4,3,5,4,1,3,4,4,4,5,5,3,3,4,5,4,1,1
18,18,2,7,7,7,7,7,7,7,5,4,6,1,5,5,2,5,1,2,3,3,3,2,6,7,6,7,7,6,7,7,3,5,5,6,6,5,5,4,7,7,7,5,7,7,7,6,1,1
19,18,2,6,6,6,6,6,5,6,5,6,6,2,4,4,4,4,2,4,4,4,4,4,4,7,5,5,7,7,6,5,5,4,6,6,4,5,5,5,5,4,5,5,3,3,5,5,1,1
20,18,2,6,7,6,7,7,7,7,6,7,5,2,4,4,2,4,2,1,2,4,2,4,5,6,6,6,6,5,6,6,3,2,5,4,5,3,5,5,4,5,5,4,5,5,5,4,1,1
21,18,1,6,7,6,5,5,NA,7,NA,NA,NA,1,5,5,1,5,1,4,5,4,4,2,6,5,6,3,1,3,5,2,3,5,6,7,5,2,5,6,6,4,4,7,1,2,7,6,1,1
22,19,1,4,6,7,4,3,2,6,6,6,4,1,5,5,1,5,1,5,5,3,5,2,3,2,5,4,1,4,4,5,7,7,7,7,1,7,7,7,5,7,7,7,3,7,7,7,1,1
23,21,1,6,7,7,6,7,3,7,4,3,4,1,4,4,1,5,2,1,1,5,2,3,7,6,7,6,6,5,7,5,3,3,5,6,4,6,3,4,6,6,6,4,4,5,6,4,1,1
24,18,2,4,4,6,4,4,4,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,7,7,6,7,7,3,2,3,3,5,2,2,3,4,6,5,7,7,4,6,5,1,NA
26,19,2,5,6,7,6,6,4,7,5,5,4,2,3,4,3,4,3,1,2,5,4,3,5,6,6,6,6,5,6,6,6,6,6,6,4,6,6,6,4,5,5,6,6,6,5,6,1,1
27,18,2,5,5,6,6,5,5,6,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,7,6,6,4,6,6,4,5,6,5,4,4,4,5,4,5,5,6,5,5,5,5,1,NA
28,18,1,7,7,7,7,7,4,7,1,2,5,3,5,5,2,4,2,5,5,3,5,5,6,6,6,6,5,6,6,6,4,5,6,5,3,5,5,5,5,5,5,5,5,5,5,6,1,1
29,18,2,4,7,7,7,7,4,7,7,1,1,4,5,2,5,4,5,2,3,4,4,4,3,7,7,3,6,1,6,5,7,7,7,7,7,7,7,7,3,7,3,7,7,6,7,4,1,1
32,19,1,4,3,5,2,2,1,7,3,4,3,2,3,1,2,3,4,4,4,2,3,5,6,6,6,6,6,6,6,6,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,1,1
33,18,2,1,7,2,7,7,7,7,7,1,7,4,5,4,4,3,4,1,1,5,1,1,7,7,2,4,7,7,7,7,1,2,2,2,4,1,2,2,7,7,3,2,7,7,7,3,1,1
34,21,2,4,6,7,7,5,5,7,6,7,7,1,4,4,2,4,3,1,1,4,4,4,5,3,5,5,5,5,5,3,3,3,5,5,6,5,4,3,5,6,6,6,3,5,6,6,1,1
35,21,2,5,4,6,4,5,3,6,3,4,3,2,3,3,2,5,5,2,1,4,2,4,3,4,7,5,5,3,6,7,6,3,6,6,5,5,6,6,6,6,4,5,5,4,6,4,1,1
36,19,1,1,1,1,1,1,1,7,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,5,7,2,2,5,6,6,6,2,6,6,5,5,6,6,6,3,3,6,6,1,1
39,19,1,6,5,7,4,6,7,5,2,1,7,3,4,2,2,4,1,2,3,4,2,4,4,4,3,4,5,5,4,5,4,4,3,4,5,4,4,5,7,7,7,7,5,6,7,7,1,1
40,18,2,7,7,7,7,7,6,7,4,4,5,2,4,3,3,5,3,2,3,5,1,4,6,6,6,7,5,3,7,7,2,3,4,2,3,3,3,4,7,7,6,6,6,5,6,7,1,1
41,18,2,4,5,6,6,6,5,6,7,7,6,3,4,4,4,4,4,2,3,4,4,4,5,7,5,6,7,7,5,7,6,4,3,5,6,6,4,4,6,6,6,6,5,6,6,6,1,1
42,19,1,5,4,4,4,3,3,7,6,2,3,2,1,4,5,4,4,4,3,3,4,4,2,1,5,2,2,2,2,2,4,4,4,4,4,4,4,4,7,6,6,6,5,6,7,4,1,1
46,18,1,4,4,7,3,5,2,7,6,4,2,2,4,4,4,5,5,2,3,5,3,3,4,7,6,7,6,6,5,5,6,5,4,3,5,3,6,5,6,5,4,4,3,5,7,5,1,1
47,18,2,7,7,5,7,7,7,7,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,7,7,7,7,7,3,4,2,5,2,5,3,4,5,6,5,5,5,5,5,5,1,NA
48,20,2,6,6,3,6,6,7,7,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,5,7,7,7,7,2,1,3,1,1,1,3,1,4,3,4,6,4,2,2,5,1,NA
49,18,1,7,7,7,6,7,7,7,2,7,2,1,1,1,1,1,1,1,1,1,1,2,4,4,5,4,5,4,5,5,6,5,6,6,6,4,5,5,1,1,1,1,1,1,1,1,1,1
50,18,2,7,6,7,6,6,4,7,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,6,5,5,5,6,5,6,6,4,5,6,6,6,6,7,6,5,4,6,6,1,NA
51,18,1,5,5,6,6,6,5,7,3,4,6,3,4,4,4,4,2,4,4,4,4,4,6,6,6,5,6,6,6,5,3,3,3,2,2,2,3,3,4,4,4,5,4,3,5,5,1,1
52,18,1,6,7,7,5,6,5,2,1,1,2,1,4,4,2,4,1,1,1,5,1,2,3,4,5,4,2,4,2,6,4,4,4,4,4,4,4,4,5,6,7,6,1,6,6,7,1,1
53,18,1,7,7,7,7,7,5,7,7,4,7,1,5,5,2,5,5,4,2,2,3,4,6,7,6,6,6,5,7,7,6,5,6,6,6,5,5,7,6,6,6,4,3,3,6,6,1,1
54,19,1,6,6,7,7,6,4,7,1,5,3,3,4,4,3,4,4,2,3,5,4,3,4,4,6,4,2,5,7,3,6,3,4,5,6,5,7,1,7,5,6,5,6,4,5,5,1,1
55,19,2,5,NA,5,5,NA,2,7,6,1,1,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,5,3,6,5,5,6,5,2,3,3,5,3,3,3,4,6,5,6,6,6,3,6,5,1,1
56,18,2,6,6,7,6,6,4,7,3,1,2,1,4,2,4,5,1,2,3,5,3,4,6,7,7,7,6,2,7,6,6,7,7,6,4,3,7,5,6,7,7,6,7,NA,7,7,1,1
57,18,2,6,7,7,7,7,7,7,4,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,4,4,5,4,4,5,5,4,6,4,4,5,3,4,6,4,1,NA
58,19,2,3,6,5,5,5,2,7,6,6,2,2,4,3,4,4,2,4,2,5,3,4,4,4,6,5,6,4,5,3,4,4,5,4,4,4,5,3,4,4,5,4,5,4,4,3,1,1
59,19,1,7,7,7,4,7,4,7,7,7,4,3,4,2,4,4,1,1,1,1,1,3,5,6,7,7,6,6,6,6,2,2,4,5,4,2,2,3,5,5,5,5,5,5,5,4,1,1
60,19,2,5,5,5,6,6,4,7,4,7,4,2,4,2,5,2,5,3,2,5,4,4,4,6,5,6,6,6,6,6,3,3,3,6,6,4,6,3,5,1,4,1,3,1,7,5,1,1
61,18,1,5,6,7,6,7,7,7,5,7,7,4,4,4,2,4,4,4,3,5,2,4,5,5,6,6,7,6,6,6,4,5,4,6,4,4,4,3,6,6,6,6,6,6,6,6,1,1
62,19,2,5,7,6,7,7,3,7,1,3,2,2,4,4,1,4,1,1,1,5,1,1,4,7,5,6,5,5,7,6,6,6,5,4,3,6,6,5,5,6,5,5,2,3,5,6,1,1
63,19,1,5,7,6,6,6,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,5,6,6,5,3,6,6,5,3,6,6,6,4,6,6,4,5,5,4,5,3,1,NA
64,18,1,6,5,7,6,6,5,7,6,2,4,2,4,4,3,4,3,2,4,4,3,2,4,4,6,4,6,5,5,5,3,2,5,5,5,4,3,4,7,5,5,6,6,5,6,4,1,1
65,18,2,7,7,7,7,7,4,7,7,1,1,4,5,5,4,5,1,1,5,5,5,4,7,7,7,7,3,7,7,1,7,6,7,7,6,3,7,6,7,7,7,7,5,7,7,5,1,1
66,18,2,7,7,7,7,7,5,7,7,2,4,3,4,5,5,4,2,2,2,4,3,2,7,6,5,6,6,6,6,5,3,5,6,6,3,2,5,5,6,5,3,6,6,6,4,5,1,1
67,18,2,4,6,7,6,6,1,5,1,7,2,1,5,4,1,5,2,1,1,5,1,1,6,6,6,6,6,7,6,6,4,2,4,4,5,4,4,2,6,3,4,2,2,3,5,3,1,1
68,18,2,7,7,7,7,7,4,7,1,3,5,1,5,5,1,5,1,2,3,2,3,3,6,7,7,6,6,7,7,7,7,7,7,7,6,7,7,7,6,6,6,6,5,5,6,6,1,1
69,18,1,7,7,7,7,7,5,7,4,4,2,2,5,5,4,3,1,3,3,4,4,5,7,7,6,7,7,7,6,6,5,4,6,6,6,4,3,6,6,7,5,7,6,6,4,7,1,1
70,18,1,5,7,3,3,4,6,7,7,4,4,2,5,5,3,4,1,2,5,4,3,5,2,3,4,5,7,5,4,4,4,2,6,3,3,3,5,5,7,2,7,5,1,2,2,5,1,1
71,18,2,6,7,6,7,7,3,7,3,6,2,1,5,4,4,5,3,1,2,5,1,1,6,7,6,7,6,5,7,7,4,6,7,7,3,5,6,6,7,5,7,7,5,1,7,7,1,1
72,19,1,7,7,6,4,7,4,5,7,6,3,4,4,3,4,4,3,4,5,5,3,4,3,5,4,5,5,4,7,5,3,4,5,6,2,3,6,6,3,6,3,5,6,6,6,6,1,1
73,19,1,6,5,5,6,5,2,4,2,2,2,2,4,5,4,4,3,1,2,5,2,2,5,4,6,4,6,6,7,3,3,2,5,3,3,2,4,3,5,5,5,6,5,4,6,6,1,1
74,19,1,6,4,6,4,6,7,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,5,5,4,4,4,5,3,4,5,5,3,4,5,5,5,4,5,5,5,4,1,NA
75,19,1,4,4,7,6,6,4,5,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,2,6,3,4,4,5,6,6,5,5,6,4,5,4,4,5,6,6,5,5,1,NA
76,18,2,7,7,7,7,7,7,6,2,4,4,1,5,5,1,5,1,4,4,5,2,2,6,6,6,6,6,6,6,6,1,3,1,6,7,5,2,1,7,7,5,7,7,7,7,7,1,1
77,19,1,5,5,5,5,4,3,6,2,5,4,4,4,4,3,3,4,2,2,3,2,5,4,6,6,5,5,5,6,6,5,3,4,4,4,4,3,4,5,4,5,5,6,6,5,5,1,1
78,19,2,7,7,7,7,7,6,7,7,4,6,2,3,4,2,4,2,2,1,4,2,2,3,3,5,4,2,3,5,3,3,2,5,4,4,3,2,4,5,4,5,4,2,4,5,4,1,1
79,19,2,6,7,6,6,5,4,7,3,6,4,1,5,4,3,4,4,4,3,4,4,4,5,4,5,5,6,6,5,6,5,6,5,4,5,4,7,6,6,4,5,4,2,2,5,5,1,1
80,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,5,7,7,2,3,2,NA,5,2,3,1,6,5,7,6,6,5,6,6,1,NA
81,18,1,6,4,6,5,4,2,7,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,4,7,5,5,5,5,5,5,5,5,4,4,3,7,5,1,6,2,7,4,2,1,NA
82,18,2,7,7,6,7,7,5,6,5,2,3,2,4,4,5,4,2,2,2,5,2,1,7,7,7,4,4,7,7,7,4,3,5,5,3,2,2,5,4,3,5,3,5,3,3,5,1,1
83,19,1,5,7,7,7,7,5,5,4,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,3,4,7,7,3,4,6,7,5,5,4,5,5,5,6,4,7,6,7,4,1,NA
84,19,1,5,4,5,4,5,3,7,4,5,4,2,5,4,2,4,2,5,5,2,5,4,5,3,5,3,3,4,5,2,4,4,3,5,4,4,4,5,6,6,6,5,5,5,7,7,1,1
85,19,1,3,7,4,4,7,1,6,1,3,1,4,5,4,3,4,3,3,4,3,3,4,5,7,7,7,5,5,7,6,3,2,5,2,4,3,4,2,2,3,4,2,2,2,5,2,1,1
86,18,2,6,6,5,6,6,4,7,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,3,5,5,6,4,4,4,5,4,2,2,3,4,3,6,3,6,3,4,3,5,1,NA
87,19,2,7,7,7,7,7,3,7,3,4,3,2,4,4,3,4,2,4,3,2,2,3,5,7,6,7,7,6,7,7,6,6,6,6,6,5,6,7,6,7,5,5,7,7,5,5,1,1
88,18,2,5,5,6,6,7,5,6,3,5,4,1,4,5,2,5,1,1,3,5,2,2,5,5,6,6,5,5,5,6,7,6,7,7,1,2,7,6,4,5,6,6,1,4,5,6,1,1
89,18,2,3,NA,6,NA,5,6,NA,1,NA,NA,1,4,4,2,5,1,2,1,5,2,4,6,6,6,6,6,6,5,6,6,7,6,7,3,6,6,7,6,2,6,6,4,2,6,6,1,1
90,19,1,7,7,7,7,7,5,7,1,1,7,1,5,5,1,5,1,5,5,2,5,4,7,3,7,6,6,5,5,3,6,7,3,7,6,6,6,5,7,5,6,4,2,1,5,6,1,1
91,19,1,3,5,5,6,4,2,7,3,4,2,1,4,5,4,4,2,4,4,4,4,4,3,3,6,5,6,5,5,3,3,2,5,1,3,3,2,1,6,3,6,5,6,6,6,5,1,1
92,18,2,5,5,5,3,6,3,7,6,6,3,4,3,4,3,4,4,1,4,4,4,4,4,3,6,5,5,4,5,4,5,4,6,6,6,NA,4,4,3,4,4,3,3,4,5,4,1,1
93,18,2,5,7,3,7,7,6,7,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4,5,7,6,7,6,1,2,1,2,5,1,1,1,4,5,4,6,6,3,4,4,1,NA
94,18,2,7,7,7,7,7,4,7,2,7,4,2,4,3,3,3,3,1,2,5,2,3,7,7,5,5,7,7,7,6,3,4,4,4,3,4,4,4,6,4,6,6,3,3,5,6,1,1
95,18,2,6,7,5,6,6,5,4,7,4,5,1,4,4,2,4,1,1,1,5,1,2,5,5,6,6,4,5,6,5,5,5,5,3,2,4,6,3,6,3,6,3,5,4,5,3,1,1
96,18,2,4,5,6,5,5,6,5,4,6,6,2,5,4,3,5,1,1,2,5,1,2,6,7,6,6,5,6,7,7,6,6,6,6,2,5,6,7,6,5,5,6,5,4,6,6,1,1
97,18,2,7,3,7,4,3,4,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,3,6,7,5,7,3,5,6,7,6,5,3,7,7,6,4,7,7,2,7,6,1,NA
98,19,2,5,5,6,4,5,2,6,2,4,4,2,4,4,2,4,1,2,1,4,4,4,6,7,7,6,7,6,7,6,4,5,5,4,5,4,4,4,7,7,6,6,5,6,6,6,1,1
99,20,2,7,7,7,7,7,7,7,5,6,6,2,4,4,3,4,1,2,2,3,3,4,6,6,2,7,7,7,7,6,7,7,5,7,6,7,7,7,7,7,5,7,7,7,7,6,1,1
100,19,1,7,7,5,7,7,1,5,2,1,2,2,2,4,2,4,3,4,4,2,4,4,5,5,5,6,5,5,6,5,3,5,5,5,5,NA,5,5,2,2,5,4,4,5,4,5,1,1
101,18,2,5,6,5,5,4,7,7,4,7,7,3,3,3,4,5,2,1,1,4,4,5,4,5,7,5,7,4,7,7,3,3,3,7,7,6,7,4,6,4,3,2,7,4,4,2,1,1
102,18,2,6,6,6,6,6,6,6,5,4,4,1,4,5,1,4,1,1,1,5,1,2,4,4,6,5,6,5,6,5,3,3,5,5,5,5,4,3,5,7,6,5,7,5,7,7,1,1
103,19,1,6,7,6,7,7,7,5,6,3,4,2,4,4,2,4,1,2,2,3,2,2,6,4,5,3,6,5,5,2,6,5,6,4,2,4,5,6,4,2,4,3,2,2,3,5,1,1
104,18,1,6,5,5,5,4,4,7,6,5,5,2,5,5,2,5,1,3,4,3,2,4,6,3,6,6,6,4,5,6,4,NA,6,5,1,3,6,3,5,4,6,6,5,2,6,7,1,1
105,19,1,4,6,6,6,7,6,7,3,7,5,2,4,4,4,4,2,2,1,5,1,4,6,7,7,7,7,7,7,7,7,7,6,7,7,6,7,5,6,5,3,6,5,3,NA,6,1,1
106,19,2,7,7,7,5,6,7,6,3,5,6,2,4,4,2,4,2,2,2,4,2,3,5,6,4,4,5,3,5,4,5,5,4,5,5,5,5,5,7,7,5,6,5,3,7,6,1,1
107,18,2,5,6,7,7,6,7,7,6,7,7,2,5,4,3,5,1,4,3,2,3,3,6,6,5,5,6,5,6,5,4,4,5,4,5,4,4,4,5,6,7,6,4,2,7,5,1,1
108,18,2,7,6,7,7,7,5,7,4,6,2,1,5,5,1,5,5,1,1,5,1,1,6,7,7,7,7,7,7,5,7,7,7,7,2,5,7,7,7,7,7,7,1,5,7,7,1,1
109,19,2,7,7,7,7,7,7,7,7,7,7,1,5,5,4,5,1,1,2,5,2,4,4,6,7,7,7,7,7,6,6,6,5,5,6,6,5,5,7,6,6,6,7,6,6,6,1,1
110,19,1,6,7,7,7,7,6,7,3,7,4,1,5,5,2,5,3,4,4,4,5,5,5,6,7,7,5,5,6,7,3,3,4,5,7,4,3,3,5,6,7,7,5,7,7,6,1,1
111,19,1,6,5,6,5,5,3,6,3,4,5,3,3,5,4,4,4,2,2,4,3,5,4,5,4,4,3,5,4,4,2,4,4,4,2,4,4,4,6,5,5,4,5,7,4,4,1,1
112,20,2,4,5,4,5,6,5,7,7,7,5,2,3,3,4,4,2,2,2,4,2,3,5,6,5,7,5,6,6,6,4,3,4,4,5,4,3,4,5,5,4,6,6,5,5,5,1,1
