"Pnum","Age","Gender","Mot_Explore","Mot_Knowlege","Mot_Learn","Mot_Independent","Mot_Understand","Mot_GiveBack","Mot_Financial","Mot_Help","Mot_Honor","Mot_Rolemodel","rfqpro1r","rfqpro2","rfqpro3","rfqpro4r","rfqpro5","rfqpro6r","rfqpre1r","rfqpre2r","rfqpre3","rfqpre4r","rfqpre5r","RFApro2","RFApro3","RFApro4","RFApro5","RFApre1","RFApre2","RFApre3","RFApre5","RFHpro2","RFHpro3","RFHpro4","RFHpro5","RFHpre1","RFHpre2","RFHpre3","RFHpre5","RFRpro2","RFRpro3","RFRpro4","RFRpro5","RFRpre1","RFRpre2","RFRpre3","RFRpre5","questionnaire1","questionnaire2"
113,18,2,7,7,7,7,7,7,7,1,5,7,2,5,5,4,5,1,1,2,5,NA,2,5,3,6,5,6,5,6,2,7,4,6,5,7,5,4,4,7,7,7,7,7,7,7,7,1,1
114,19,2,5,5,6,5,5,6,7,3,6,7,1,5,4,4,5,4,1,1,5,1,1,6,6,7,6,7,6,6,7,3,5,5,5,3,3,3,3,3,3,6,5,5,5,6,3,1,1
115,19,1,5,7,7,7,7,7,7,7,7,7,3,5,3,5,5,1,4,4,4,4,5,6,6,6,6,6,6,6,5,5,4,5,5,4,6,5,4,4,3,5,6,5,5,5,3,1,1
116,19,1,5,5,6,5,4,2,7,2,2,2,1,4,4,1,5,4,3,1,4,2,4,5,5,6,3,5,4,6,2,4,2,3,5,5,5,6,2,4,3,6,3,5,4,6,3,1,1
117,20,1,7,6,6,6,1,7,6,5,5,7,2,4,5,1,5,1,2,2,4,2,3,5,5,7,6,4,5,6,5,5,5,5,5,5,5,5,4,5,5,5,5,6,6,5,5,1,1
118,18,2,7,7,6,5,6,6,5,4,7,6,2,3,4,3,4,1,3,3,4,4,2,4,5,6,4,6,6,6,5,4,4,5,5,5,5,4,4,6,6,5,6,6,6,6,7,1,1
119,19,1,5,5,3,3,6,3,7,6,6,3,2,4,5,2,5,2,3,4,3,4,2,6,7,6,6,6,6,7,6,5,5,6,6,2,5,6,6,5,3,5,5,3,3,4,4,1,1
120,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,5,5,4,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
121,19,2,6,6,6,6,6,6,6,1,6,6,1,5,4,2,5,5,2,2,4,3,4,4,5,5,5,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
122,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,3,2,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
123,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,2,4,3,2,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
124,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,5,5,2,1,1,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
125,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,5,4,1,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
126,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,4,3,1,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
127,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,2,5,1,2,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
129,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,1,5,1,1,2,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
130,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,2,5,1,1,1,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
131,18,2,7,5,5,5,6,2,6,3,5,5,1,3,5,2,4,1,1,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
132,19,1,5,6,7,6,7,4,7,5,6,4,2,5,5,2,4,2,3,4,4,2,4,6,6,6,6,6,6,6,6,6,6,6,6,2,6,5,6,6,5,5,6,5,6,4,5,1,1
133,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,5,5,1,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
134,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,2,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
135,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,2,5,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
136,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,3,5,4,3,2,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
137,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,4,3,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
139,18,2,7,7,6,7,7,7,7,6,7,7,1,5,5,1,5,2,1,3,5,2,2,7,7,7,7,6,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
140,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,3,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
141,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,5,2,2,2,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
142,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,1,4,4,1,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
143,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,3,3,2,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
144,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,4,2,5,5,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
145,19,1,7,7,7,7,7,7,7,7,1,1,1,2,1,3,4,5,3,4,3,5,2,7,7,7,7,4,7,7,7,7,7,7,7,7,7,6.5,7,7,7,1,1,7,7,7,1,1,1
149,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,5,5,2,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
150,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,4,1,2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
151,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,5,1,1,2,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
155,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,2,4,1,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
156,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,2,5,2,3,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
157,19,2,5,4,7,4,5,4,7,6,6,6,2,4,3,3,4,3,4,4,4,4,2,5,5,4,5,6,5,4,4,3,2,2,4,5,4,3,2,7,7,6,6,6,6,7,6,1,1
161,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,5,2,2,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
162,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,2,4,2,2,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
166,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,5,5,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
167,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,4,2,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
168,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,2,5,2,3,3,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
169,18,1,6,6,7,6,5,4,6,6,5,5,2,4,5,2,5,2,2,4,4,4,4,4,5,5,4,6,4,5,5,5,6,6,3,4,5,5,6,3,6,6,4,4,4,5,6,1,1
170,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,4,4,4,2,2,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
171,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,4,4,2,4,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
172,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,4,2,4,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
176,21,2,7,7,NA,7,7,4,7,3,4,2,4,4,3,5,4,5,2,4,4,3,2,6,7,6,7,6,5,6,7,7,7,5,7,7,7,6,6,4,5,5,4,5,4,7,7,1,1
177,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,3,5,3,1,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
178,20,2,6,6,7,6,6,6,6,2,4,6,2,4,4,4,5,1,1,1,5,4,4,6,6,6,6,6,6,7,7,6,6,5,6,2,5,6,7,6,6,6,2,1,2,2,7,1,1
179,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,2,5,1,4,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
180,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,3,5,4,5,5,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
181,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,1,2,1,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
182,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,3,4,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
183,19,2,2,2,7,2,2,2,7,2,7,2,1,4,2,1,5,5,2,1,5,4,1,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,5,7,7,6,7,7,7,7,7,1,1
184,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,4,2,4,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
185,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,5,1,1,1,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
186,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,5,4,4,2,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
187,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,2,5,1,1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
188,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,2,4,1,1,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
189,19,2,5,7,7,7,7,3,7,1,2,2,2,5,4,4,4,4,5,5,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
190,18,2,7,6,7,6,7,7,6,4,7,7,1,4,4,2,4,4,1,1,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
191,18,2,7,7,7,7,7,7,7,7,7,7,1,5,5,1,5,4,2,3,4,2,3,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,7,5,4,4,4,6,4,4,4,1,1
192,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,4,3,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
193,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,1,5,2,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
194,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,2,5,1,1,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
195,19,2,5,6,6,5,6,5,5,6,6,5,1,4,4,3,4,2,4,4,5,3,4,4,5,5,6,5,6,6,5,4,2,5,4,3,3,5,4,4,4,6,5,6,5,3,5,1,1
196,19,1,2,4,4,4,1,3,5,4,6,4,3,4,4,3,4,4,3,4,4,3,4,3,5,5,6,7,5,5,5,4,2,4,NA,1,1,6,6,4,5,4,4,1,4,6,5,1,1
197,19,2,7,7,7,7,7,7,6,7,4,3,2,5,5,2,4,2,2,2,5,1,3,7,7,6,7,6,6,7,6,6,6,6,6,6,6,6,6,6,3,5,4,3,4,6,5,1,1
198,19,1,9,6,6,6,6,2,6,2,2,2,1,5,5,5,5,5,4,4,4,4,4,6,6,6,6,6,4,6,6,4,2,4,4,3,4,4,2,5,2,5,2,2,2,5,2,1,1
199,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,4,2,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
200,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,1,5,5,2,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
201,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,3,5,1,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
203,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,5,2,5,2,3,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
204,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,4,2,4,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
205,18,2,6,6,6,6,6,2,6,2,5,4,2,4,4,2,4,2,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
206,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,5,2,1,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
207,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,2,4,5,5,2,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
208,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,3,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
209,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,4,3,2,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
210,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,5,4,1,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
211,18,2,6,7,7,7,7,4,7,3,3,6,2,4,3,2,4,5,4,5,3,5,4,6,7,6,6,6,6,7,6,4,4,4,4,4,4,4,4,5,6,6,4,4,4,7,7,1,1
212,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,5,2,1,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
213,20,2,6,6,6,6,6,6,7,5,4,6,2,5,4,3,4,1,4,2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
214,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,5,1,1,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
215,19,2,6,3,6,5,1,4,5,1,3,3,2,4,3,4,4,4,5,5,2,5,5,4,5,5,5,4,4,5,5,4,5,5,6,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
