"id","rfapre1","rfapro1","rfapre2","rfapro2","rfapre3","rfapro3","rfapro4","rfapre4","rfcpre1","rfcpro1","rfcpre2","rfcpro2","rfcpre3","rfcpro3","rfcpro4","rfcpre4","aresp1","arest1","aresp2","arest2","aresp3","arest3","aresp4","arest4","arest5","aresp5","cresp1","crest1","cresp2","crest2","cresp3","crest3","cresp4","crest4","crest5","cresp5","ra.name","rfqpro1r","rfqpre1r","rfqpro2","rfqpre2r","rfqpre3","rfqpre4r","rfqpro3","rfqpre5r","rfqpro4r","rfqpro5","rfqpro6r","rfqexpro1","rfqexpro2","rfqexpre1","rfqexpre2","rfqexpre3","rfqexpro3"
91,5,5,5,5,5,5,5,5,4,4,5,4,3,4,4,4,2,3,2,4,4,4,4,3,3,5,5,4,5,5,5,4,5,5,5,3,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,4,4,5,5,2,5,2,5,3,5,2,5,5,4,3,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,5,5,5,5,5,5,4,5,2,2,2,2,2,2,2,2,4,2,3,2,2,1,1,1,1,4,2,5,2,4,2,4,1,4,5,2,"Olive",2,2,4,2,4,4,4,5,2,4,4,3,2,2,2,4,2
94,4,4,3,3,3,5,5,3,2,2,2,0,4,5,0,0,4,3,4,5,5,3,3,5,5,0,5,2,5,NA,5,0,4,4,5,5,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,1,2,2,2,4,5,4,4,5,5,4,5,2,5,4,"Olive",2,1,2,1,5,1,4,2,1,5,2,4,5,4,4,4,4
97,5,4,5,5,5,3,4,4,4,5,5,4,5,5,4,5,1,5,4,3,3,3,4,4,3,4,5,3,5,5,5,5,5,3,4,5,"Kerry",1,1,5,1,5,2,4,3,4,5,1,4,5,4,3,3,4
98,2,3,2,4,4,4,4,4,2,2,2,2,2,2,2,2,5,2,5,4,5,2,5,2,2,5,5,4,5,5,5,1,5,3,3,5,"Kerry",1,1,5,1,5,3,4,4,2,2,2,4,4,5,5,4,5
99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,5,2,5,5,5,0,5,3,4,5,"Kerry",1,1,5,3,5,2,4,2,4,5,4,5,5,5,5,5,5
100,4,3,3,2,4,4,2,1,2,3,1,0,2,3,2,0,3,0,4,3,4,0,4,1,3,3,3,3,3,5,2,4,1,2,5,3,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,4,4,4,3,3,3,4,4,5,4,3,3,3,3,3,2,3,2,4,3,3,2,2,1,2,3,5,1,5,3,5,0,1,3,3,3,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,2,5,1,1,3,5,5,5,5,5,5,5,4,3,2,5,5,"Stephen",1,3,5,1,5,1,5,4,1,5,1,5,5,5,5,5,5
104,5,4,4,1,2,3,3,4,4,4,5,5,0,1,1,2,3,3,5,5,5,5,4,1,1,3,4,4,4,4,4,4,4,4,4,4,"Kerry",2,1,4,1,5,1,4,4,4,3,1,4,5,4,3,3,3
105,5,4,4,5,5,5,4,5,5,4,4,5,5,5,4,5,3,2,4,4,4,3,3,2,4,3,5,1,5,4,5,1,4,4,4,4,"Elisa",1,3,4,2,5,4,5,3,2,4,NA,5,4,5,4,5,5
106,5,4,4,4,4,5,4,4,3,3,3,2,4,5,2,2,3,0,4,1,3,0,3,1,1,5,5,1,5,3,4,0,3,3,3,5,"Kerry",4,3,4,2,5,3,4,5,4,5,2,3,3,5,4,4,4
107,3,4,2,4,3,5,2,3,4,5,2,5,3,5,4,5,5,2,5,3,5,2,4,1,2,5,5,2,5,3,4,0,3,2,4,5,"Olive",2,2,4,1,5,2,4,3,2,4,2,4,3,4,4,3,3
108,5,5,4,4,3,4,5,4,1,3,5,3,1,3,3,3,2,2,3,3,5,0,1,3,3,4,5,1,5,3,5,0,3,3,3,4,"Kerry",2,4,4,4,2,4,4,5,5,4,4,5,5,5,5,2,5
109,4,5,3,3,5,5,5,5,4,4,3,2,4,4,0,0,4,0,5,4,5,0,2,3,4,3,5,1,5,5,5,0,4,0,5,5,"Kerry",2,4,5,4,4,5,5,2,2,5,5,5,4,4,4,4,4
110,3,1,1,3,3,3,4,3,2,1,1,2,3,3,2,2,4,1,2,4,4,2,2,3,2,4,4,5,2,5,4,5,2,5,5,1,"Kerry",2,4,4,4,3,1,4,5,1,5,1,5,4,5,4,5,5
111,3,3,3,4,4,4,3,3,4,5,4,1,2,4,1,3,4,1,4,1,4,0,3,0,3,5,5,0,5,2,4,0,3,1,2,5,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,4,5,4,5,5,5,5,4,4,3,2,2,3,3,2,2,4,2,3,2,4,1,4,2,3,3,4,3,5,4,4,4,3,2,3,3,"Stephen",2,3,4,3,5,4,3,4,2,5,2,3,2,5,4,5,5
113,4,3,4,5,4,4,4,5,1,1,0,0,3,3,2,3,4,3,1,0,3,0,3,1,1,4,4,4,1,2,2,0,2,4,1,2,"Elisa",3,4,4,3,4,4,3,2,1,5,1,4,5,5,5,4,4
114,5,4,4,5,5,5,4,5,4,3,2,2,3,3,2,3,4,1,5,4,4,3,4,3,3,2,5,4,5,4,4,0,3,5,4,1,"Elisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,4,4,4,5,4,4,4,4,3,3,4,4,3,3,3,4,5,1,5,2,5,2,4,1,2,4,5,1,5,1,5,1,4,2,2,5,"Kerry",2,4,5,2,5,4,4,4,2,4,1,4,4,2,3,2,5
116,5,5,4,3,4,5,4,4,2,2,2,2,2,3,2,2,2,5,2,5,NA,5,2,2,5,0,1,5,4,5,4,5,5,0,4,3,"Olive",2,5,4,5,2,3,4,4,4,4,2,5,4,4,3,2,2
117,4,2,3,2,2,2,3,3,4,4,4,5,5,5,4,4,4,4,4,5,4,3,5,1,1,5,5,4,5,5,5,0,5,0,3,5,"Stephen",2,2,4,4,5,4,5,5,2,5,1,5,4,2,2,4,5
118,4,4,3,3,4,4,3,3,4,3,4,3,3,4,3,3,5,0,5,1,4,0,3,1,1,5,5,0,5,0,5,0,4,3,2,5,"Kerry",4,1,4,1,5,1,5,3,2,4,2,4,3,4,4,5,5
119,5,5,5,5,5,4,4,5,4,4,5,4,5,4,3,2,5,1,5,2,5,1,5,0,1,4,4,2,5,3,4,0,3,3,3,4,"Olive",2,2,4,1,4,2,5,4,2,4,2,3,2,5,4,4,4
120,4,4,5,5,5,5,5,5,1,4,5,5,5,5,5,4,5,1,5,5,4,0,2,4,4,3,5,3,5,5,5,0,4,4,3,3,"Elisa",3,1,4,1,5,1,4,4,5,4,4,4,4,5,5,4,4
122,5,4,5,5,5,5,5,5,4,4,3,5,5,5,4,3,5,1,4,4,5,2,5,3,3,NA,5,2,5,4,5,0,5,1,1,5,"Stephen",2,3,4,3,4,4,4,5,1,5,4,4,4,4,4,4,4
124,5,4,5,4,5,5,5,5,5,3,3,2,5,4,4,3,4,3,5,5,5,3,5,1,5,5,5,2,5,5,5,2,5,2,3,5,"Elisa",3,2,3,2,5,2,4,4,3,4,2,4,4,5,5,4,4
127,4,5,4,4,5,5,4,4,3,5,4,5,4,4,2,4,3,0,5,2,5,0,4,4,2,4,5,0,5,4,5,0,5,3,2,5,"Elisa",3,4,3,4,4,4,4,4,5,5,1,4,4,5,4,5,5
128,5,5,5,5,5,5,5,5,3,4,1,3,2,3,1,2,4,1,2,3,5,1,3,1,3,3,5,2,5,3,5,0,3,2,4,4,"Elisa",3,2,4,2,5,3,4,2,3,4,4,3,5,5,4,3,3
130,4,4,5,5,5,5,4,4,0,1,1,1,1,1,1,1,4,0,5,0,4,0,1,0,1,4,5,0,5,3,1,0,3,1,1,5,"Stephen",2,3,4,3,5,2,5,4,3,2,4,3,2,3,4,5,4
132,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,0,5,1,4,3,4,1,1,5,5,0,5,3,4,0,5,0,3,5,"Kerry",4,1,5,1,5,1,5,1,4,4,1,5,5,5,5,5,5
133,5,5,5,3,4,4,5,3,4,4,4,4,4,5,5,4,4,1,4,1,5,1,4,3,2,4,5,2,4,2,5,0,3,4,3,5,"Kerry",4,1,4,2,5,2,4,5,5,4,1,5,5,4,4,4,5
137,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,0,4,1,4,1,3,4,3,4,5,0,5,4,5,0,5,1,1,5,"Olive",2,2,4,2,4,2,3,4,3,4,1,5,2,4,4,3,3
138,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,4,3,4,5,5,4,5,4,5,5,5,5,5,5,5,5,0,5,2,5,5,"Kerry",1,1,5,2,4,2,5,1,2,5,2,5,4,4,4,4,4
139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephen",1,2,4,2,4,2,4,4,2,5,2,5,4,4,4,3,4
140,3,2,4,4,4,4,3,3,3,4,3,3,2,3,2,1,5,2,5,1,4,1,4,2,2,5,5,2,5,4,5,0,4,3,3,5,"Stephen",1,4,4,4,4,3,4,4,3,4,1,4,5,5,5,5,5
141,4,4,4,4,3,4,4,4,3,2,2,2,2,3,2,3,3,2,3,3,3,2,3,4,2,3,2,4,3,3,3,1,2,4,3,2,"Elisa",2,4,4,4,3,4,4,4,3,4,2,4,4,5,4,4,4
142,5,4,4,5,5,5,3,3,1,1,3,1,4,3,1,3,4,1,3,3,4,0,5,1,2,5,4,4,4,5,5,4,3,4,4,3,"Kerry",4,2,4,2,3,4,4,4,2,4,4,4,4,3,3,1,4
143,5,5,4,4,4,4,4,2,5,4,4,2,2,4,2,2,2,4,4,4,4,4,4,3,5,3,2,4,4,5,4,5,4,3,5,2,"Elisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,3,1,3,2,4,2,3,4,5,2,5,3,4,0,3,2,3,5,"Stephen",1,3,4,3,2,2,5,1,1,5,1,5,5,3,4,5,3
145,2,3,3,3,4,4,3,4,3,4,3,4,4,4,4,3,3,2,3,2,3,3,2,3,2,3,2,2,3,4,4,5,5,3,4,4,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,4,4,4,3,4,4,4,2,3,3,4,4,4,5,3,1,5,1,5,4,5,4,4,2,2,5,5,2,5,5,5,1,5,1,3,5,"Elisa",1,5,5,4,4,5,2,5,5,4,2,5,4,5,5,3,5
147,4,4,4,4,5,5,4,3,3,2,2,2,3,3,2,1,3,2,4,3,4,2,3,3,4,3,2,4,4,4,4,0,1,4,4,2,"Stephen",1,3,4,2,4,3,4,4,3,4,1,4,3,4,4,4,4
148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elisa",2,1,5,1,5,1,4,4,5,4,2,2,4,4,4,2,4
149,2,3,2,5,2,4,2,2,2,2,2,2,2,2,2,2,3,1,4,4,3,2,4,4,4,3,3,4,2,5,5,5,3,5,5,4,"Kerry",1,1,4,2,1,1,3,5,4,5,4,5,4,4,4,5,4
150,5,5,4,4,5,3,5,5,4,2,2,2,3,3,2,4,3,2,2,4,3,2,1,3,3,1,5,3,4,5,5,3,4,3,3,3,"Stephen",1,2,5,3,4,2,4,3,4,5,1,4,5,5,5,3,5
151,4,3,4,5,3,4,3,4,5,4,4,4,4,4,4,4,4,1,3,2,4,0,4,0,1,4,2,4,2,5,5,3,3,3,5,3,"Stephen",1,2,4,5,5,5,4,4,4,4,3,4,4,5,5,5,5
152,5,5,5,5,5,5,5,4,5,5,4,5,5,4,3,3,4,0,5,4,4,0,1,1,1,4,4,5,5,5,5,0,1,4,5,4,"Elisa ",1,1,4,2,1,2,4,1,1,5,1,4,5,4,5,3,5
153,0,5,0,3,5,5,5,0,0,3,3,0,5,5,5,0,5,0,5,0,5,0,0,0,2,3,5,0,5,5,5,4,4,2,0,5,"Kerry",2,1,4,2,4,4,4,2,2,4,2,5,4,4,3,3,3
154,4,4,4,3,4,4,4,3,2,2,1,0,1,1,0,0,4,0,4,0,0,0,4,2,3,4,5,0,5,1,2,0,4,2,3,5,"Olive",2,4,5,2,4,4,5,5,3,3,1,5,4,5,4,3,4
156,3,3,2,5,5,5,2,5,5,2,3,3,2,3,1,3,1,3,2,2,4,1,3,2,2,2,3,1,4,4,5,1,3,1,1,3,"Stephen",1,4,4,3,3,4,4,4,5,4,4,3,5,4,2,4,2
158,4,3,4,5,5,4,5,5,4,1,2,3,3,3,2,4,5,0,4,3,4,1,3,2,2,4,5,0,5,4,3,3,4,4,3,5,"Elisa",1,4,5,2,4,1,4,4,4,5,4,5,5,5,5,4,5
159,4,4,4,4,5,3,3,4,4,4,4,4,4,3,3,5,3,2,5,4,5,2,4,1,2,5,4,4,5,4,5,2,5,2,4,5,"Elisa",3,2,5,2,4,3,4,5,5,4,2,5,5,5,5,4,5
162,1,3,1,2,1,1,1,1,5,4,2,3,1,5,1,1,5,1,5,1,5,1,5,2,4,5,5,2,5,3,4,1,5,1,3,5,"Kerry",1,1,4,2,2,4,4,4,2,5,1,4,4,4,4,5,5
163,5,3,4,4,5,5,4,5,4,3,5,3,5,5,3,4,4,2,4,2,4,1,5,4,3,4,4,2,5,5,5,0,5,5,5,3,"Stephen",1,2,3,4,2,3,3,2,2,5,5,3,5,4,5,5,5
164,4,3,4,5,5,5,4,4,3,1,1,2,4,4,2,2,3,0,3,3,4,3,5,3,3,4,5,1,5,1,4,0,4,0,3,5,"Elisa ",1,2,5,2,5,3,3,1,2,4,3,4,4,4,4,4,4
165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephen",1,4,4,3,4,4,5,4,3,5,3,4,4,4,3,4,5
166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elisa",2,3,3,2,2,2,4,3,2,4,1,4,3,3,2,4,4
167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kerry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,4,5,0,5,5,5,4,5,1,0,5,5,1,5,5,5,5,"Kerry",5,1,2,2,4,1,4,1,5,2,2,4,4,4,4,4,4
169,4,4,4,4,3,4,3,3,3,3,3,3,4,4,3,4,4,2,4,2,4,2,4,2,2,4,5,3,5,4,4,2,4,4,4,4,"Elisa",1,4,5,5,4,5,4,4,5,5,1,5,5,5,5,4,5
170,2,5,3,5,5,5,5,5,2,3,3,3,3,3,3,3,5,0,5,4,5,1,5,3,4,4,5,5,5,4,5,0,2,5,5,3,"Olive",2,1,5,2,5,2,4,6,1,5,1,5,4,3,3,4,5
171,5,4,3,4,5,5,4,5,2,2,1,3,3,4,0,4,5,0,5,2,3,2,4,1,5,4,5,2,5,5,5,1,4,4,5,3,"Elisa",1,5,5,5,3,5,4,4,3,4,2,5,5,4,3,3,5
172,3,3,2,3,3,4,4,4,2,3,3,4,4,4,5,5,5,5,3,3,2,3,2,2,2,3,5,1,5,1,5,1,5,5,1,5,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,5,4,4,5,5,5,5,5,3,2,2,2,5,5,5,5,5,5,5,0,0,0,0,0,3,3,5,0,5,5,5,2,3,5,5,3,"Kerry",1,1,3,1,5,1,3,2,1,5,3,3,4,4,4,4,4
174,5,5,4,3,4,4,4,3,3,3,3,2,2,3,1,1,2,2,3,2,3,2,1,3,3,3,5,3,5,1,5,0,2,3,3,5,"Kerry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,1,5,2,5,2,4,2,2,5,5,1,5,2,5,1,5,4,4,4,"Stephen",1,3,4,4,5,3,4,4,4,4,3,4,4,5,4,4,2
176,3,3,4,2,4,4,3,1,2,2,1,1,4,4,1,1,3,2,4,3,4,2,2,3,4,4,5,3,5,4,5,4,5,0,3,5,"Elisa",1,4,4,1,5,4,5,4,1,5,1,5,4,2,2,1,5
177,5,4,5,5,5,4,4,3,3,2,2,2,2,2,1,1,2,1,2,1,2,3,1,4,4,2,3,1,5,1,5,1,4,3,4,5,"",2,2,4,4,5,2,4,3,4,5,1,5,5,4,4,3,5
178,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,4,4,3,4,3,5,3,2,4,3,2,4,5,3,5,5,5,2,5,5,2,"Kerry",4,5,5,5,2,5,5,3,4,2,2,4,5,5,5,4,5
179,5,5,5,5,5,3,5,5,5,2,3,0,0,0,1,0,4,0,5,1,5,0,5,0,3,5,5,5,5,5,5,5,2,4,5,5,"Elisa",2,3,4,4,2,5,3,2,1,3,1,5,5,5,5,2,5
180,4,4,1,1,4,4,2,1,3,2,2,2,2,3,1,2,4,1,4,3,3,2,2,3,3,2,3,2,3,4,3,3,3,3,3,3,"Kerry",1,1,5,1,5,1,3,1,5,5,5,5,5,4,5,5,5
181,5,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,4,1,4,2,4,3,4,3,4,3,5,1,5,2,5,3,4,3,4,3,"Kerry",2,1,5,2,5,3,3,2,4,5,5,4,5,4,2,5,5
182,4,3,3,3,3,4,2,4,3,2,4,2,3,3,1,5,3,2,3,3,3,2,2,1,4,3,3,3,2,3,2,3,2,3,5,2,"Olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kerry",1,4,4,2,5,2,5,4,2,5,1,4,5,4,3,2,4
184,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,3,2,2,3,3,3,2,3,2,1,4,5,2,5,3,4,1,3,2,3,4,"Olive",2,5,4,5,3,4,5,2,3,3,2,3,3,4,2,3,4
185,4,4,5,4,5,5,5,3,4,3,4,3,3,4,2,2,4,1,3,0,4,0,4,0,0,4,5,0,5,4,5,2,3,3,3,4,"Olive",2,5,5,5,5,5,4,3,3,5,1,4,4,5,5,5,5
186,5,4,4,4,3,4,4,5,4,3,3,2,2,2,3,3,2,2,3,4,4,2,4,4,4,2,2,4,3,5,5,2,2,5,5,3,"Olive",2,4,5,2,4,4,4,4,2,4,2,4,4,4,4,5,5
187,4,3,2,2,3,4,3,2,5,3,3,3,5,5,5,5,5,0,5,5,0,0,0,0,0,5,5,0,5,5,5,0,5,0,3,0,"Stephen",1,2,5,4,5,2,4,4,2,4,1,5,5,2,3,4,4
189,3,3,3,4,5,5,5,5,2,2,2,2,3,4,2,3,5,0,5,1,4,1,2,3,2,5,5,3,5,4,5,2,5,1,4,5,"Stephen",2,3,5,2,4,1,4,1,2,5,1,5,5,5,4,2,5
